text,class,date,aspect
"Os funcionários são excelentes, a energia do mesmo é contagiante, amei tudo, recepção ( os meninos e a Sara)",1,2025-03-25 15:57:20+00:00,Atendimento da equipe
conforto,1,2025-03-25 15:57:20+00:00,Quarto
limpeza,1,2025-03-25 15:57:20+00:00,Quarto
piscina,1,2025-03-25 15:57:20+00:00,Áreas comuns
O hotel conta com piscinas,1,2024-08-27 13:55:56+00:00,Áreas comuns
O hotel conta com ... academia,1,2024-08-27 13:55:56+00:00,Áreas comuns
O hotel conta com ... sauna e SPA de massagem,1,2024-08-27 13:55:56+00:00,Áreas comuns
serviços de quarto,1,2024-08-27 13:55:56+00:00,Atendimento da equipe
quarto confortável,1,2025-07-21 00:00:00+00:00,Quarto
atendentes prestativos,1,2025-07-21 00:00:00+00:00,Atendimento da equipe
"a área Kids dele é muito boa, tem até monitora",1,2025-07-13 00:00:00+00:00,Áreas comuns
Todos os atendentes muito educados e cordiais!,1,2025-07-13 00:00:00+00:00,Atendimento da equipe
Profissionais super atenciosos,1,2025-07-02 00:00:00+00:00,Atendimento da equipe
"Excelente atendimento, limpeza, organização.",1,2025-06-22 00:00:00+00:00,Atendimento da equipe
quarto confortável,1,2025-06-21 00:00:00+00:00,Quarto
Atendimento Excelente,1,2025-03-07 13:35:48+00:00,Atendimento da equipe
Ótimo atendimento,1,2024-05-18 01:07:30+00:00,Atendimento da equipe
Limpo.,1,2024-02-16 12:53:56+00:00,Quarto
Esse povo que está reclamando de barulho de carro,1,2024-02-06 10:01:12+00:00,Quarto
Esse povo que está reclamando de ar condicionado,1,2024-02-06 10:01:12+00:00,Quarto
quarto grande e bem conservado,1,2024-02-02 21:12:24+00:00,Quarto
funcionários sempre gentis,1,2024-02-02 21:12:24+00:00,Atendimento da equipe
Só faltou academia que já está no projeto deles para este ano,0,2024-01-19 13:21:33+00:00,Áreas comuns
Área da piscina muito boa para relaxar.,1,2024-01-06 11:18:41+00:00,Áreas comuns
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto
tudo limpo,1,2025-05-15 16:20:20+00:00,Quarto
área de lazer muito boa,1,2025-05-15 16:20:20+00:00,Áreas comuns
fomos muito bem recepcionados,1,2025-05-15 16:20:20+00:00,Atendimento da equipe
