text,class,date,aspect,score
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto,0.4949506
O ar condicionado aparentemente é um pouco antigo,0,2024-08-11 23:03:04+00:00,Quarto,0.41318744
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns,0.033723358
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"O chão da piscina é muito sujo, não dá nem para ficar descalço",0,2024-01-18 00:00:00+00:00,Áreas comuns,0.013695891
Isso deixou o atendimento demorado.,0,2025-07-27 23:43:49+00:00,Atendimento da equipe,0.60395974
Fora o serviço de quarto / governança mexeu em itens pessoais,0,2024-07-22 15:07:43+00:00,Atendimento da equipe,0.19733123
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 14:39:33+00:00,Áreas comuns,0.009390119
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe,0.045312013
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe,0.045312013
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe,0.4521379
O hotel deu pouca atenção a este caso somente comentando que a camareira esqueceu a porta aberta,0,2025-01-24 03:25:27+00:00,Atendimento da equipe,0.01098112
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto,0.02224035
Tão sujo que até o filtro do ar condicionado eu precisei limpar.,0,2025-03-21 18:50:48+00:00,Quarto,0.011691186
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns,0.75549936
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto,0.2442413
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe,0.4521379
limpeza e arrumação do quarto bem ruins,0,2025-08-10 00:00:00+00:00,Quarto,0.020789532
o frigobar não fecha direito,0,2024-03-19 18:37:23+00:00,Quarto,0.10777682
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto,0.2442413
"O ar condicionado é velho e era muito difícil alterar sua configuração (subir/baixar temperatura, aumentar ou diminuir o fluxo de ar).",0,2025-03-14 08:03:25+00:00,Quarto,0.13333422
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto,0.022898594
Isso deixou o atendimento demorado.,0,2025-07-27 23:43:49+00:00,Atendimento da equipe,0.60395974
3 ar condicionado estavam desligados num calor absurdo logo pela manhã,0,2024-03-22 23:53:12+00:00,Quarto,0.012870167
O ar condicionado é péssimo!! Hotel muito quente!!,0,2025-03-01 00:00:00+00:00,Quarto,0.011095471
Quarto sujo,0,2024-01-18 00:00:00+00:00,Quarto,0.2795144
Tão sujo que até o filtro do ar condicionado eu precisei limpar.,0,2025-03-21 18:50:48+00:00,Quarto,0.011691186
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns,0.45850843
Tivemos problemas com a garagem que não abria o portão,0,2025-05-07 00:00:00+00:00,Áreas comuns,0.10459629
"Fizemos o check in, o recepcionista entregou os cartões e apenas apontou o elevador.",0,2024-08-16 23:42:17+00:00,Atendimento da equipe,0.5306098
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto,0.017289689
"A vedação acústica do meu quarto era ruim,.estava para rua e o barulho de carros e motos era muito nítido.",0,2024-04-19 12:56:50+00:00,Quarto,0.012068063
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto,0.03913022
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto,0.022898594
Quarto poderia ser mais iluminado.,0,2024-06-28 23:28:17+00:00,Quarto,0.5899443
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns,0.033723358
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"reclamei que colocaram nos com um bebê de 1 ano no quarto virado pra geral, onde passava várias motos barulhentas a noite toda e tinha vários motores de ar condicionado embaixo da nossa janela, um barulho que parecia um ônibus ligado",0,2025-05-07 00:00:00+00:00,Quarto,0.06704513
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns,0.34122702
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe,0.098218
"somente ficou a desejar o serviço de limpeza, um dia deixaram o quarto sem toalhas , outra vez sem papel  higiênico, mas problemas sempre resolvidos com rapidez",0,2024-08-23 00:00:00+00:00,Atendimento da equipe,0.03870644
"O ar condicionado é velho e era muito difícil alterar sua configuração (subir/baixar temperatura, aumentar ou diminuir o fluxo de ar).",0,2025-03-14 08:03:25+00:00,Quarto,0.13333422
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto,0.02224035
"Um dia após meu check-out entraram em contato comigo dizendo que eu saí do hotel sem fazer check-out e que eu não havia pago o estacionamento, refutei indicando o horário em que fiz o check-out no balcão e que consultassem suas câmeras e que fizessem seu serviço de acordo!",0,2025-01-21 00:00:00+00:00,Atendimento da equipe,0.098218
a recepção pouco atenciosa,0,2025-03-18 00:00:00+00:00,Atendimento da equipe,0.1057862
Isso deixou o atendimento demorado.,0,2025-07-27 23:43:49+00:00,Atendimento da equipe,0.60395974
desde o serviço na piscina,0,2024-01-31 00:00:00+00:00,Áreas comuns,0.51230377
os travesseiros eram ruins,0,2024-03-19 18:37:23+00:00,Quarto,0.013750492
durante a noite apareceu um barata cascuda enorme pra desespero da minha mulher.,0,2024-11-25 00:00:00+00:00,Quarto,0.17633024
"Nossos travesseiros eram bem finos, acredito que por serem velhos, precisam ser trocados.",0,2024-01-06 11:18:41+00:00,Quarto,0.012093849
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns,0.45850843
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto,0.022898594
"O ar condicionado, está muito sujo, perdi dois dias da minha viajem pois peguei uma alergia. O ar condicionado vc dava pra ver a sujeira, FAZ ANOS QUE NÃO LIMPAM.",0,2025-05-23 00:00:00+00:00,Quarto,0.011003235
precisamos pedir 2x pra trocar as toalhas,0,2025-03-18 00:00:00+00:00,Quarto,0.3838137
Em função do grande movimento teve dias em que a piscina estava meio turva,0,2024-01-11 00:22:37+00:00,Áreas comuns,0.28139716
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns,0.75549936
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto,0.2442413
"Está sujo e barulhento, pois está em reforma e não falaram nada.",0,2024-05-24 14:39:33+00:00,Quarto,0.010305911
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto,0.03913022
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto,0.022898594
"O único porém foi o ar condicionado que não estava dando conta do calor, 35 graus, precisou de algumas horas para refrescar ( o quarto ficava no final do corredor).",0,2024-11-21 00:00:00+00:00,Quarto,0.07660102
