text,class,date,aspect
"Muito bem localizado, com farmácias, restaurantes e supermercados proximos",1,2025-07-21 22:19:15+00:00,Localização
quartos limpos,1,2025-07-20 01:11:25+00:00,Quarto
café da manhã com boas opções e variedades,1,2025-07-20 01:11:25+00:00,Café da manhã
funcionários muitos atenciosos,1,2025-07-20 01:11:25+00:00,Atendimento da equipe
tem elevador para facilitar o acesso,1,2025-07-19 22:27:33+00:00,Áreas comuns
O quarto que fiquei com duas camas de casal era de bom tamanho e super aconchegante,1,2025-07-19 22:27:33+00:00,Quarto
Cama confortável,1,2025-07-19 22:27:33+00:00,Quarto
local limpo,1,2025-07-19 22:27:33+00:00,Quarto
Café da manhã gostoso com várias opções,1,2025-07-19 22:27:33+00:00,Café da manhã
A piscina não estava aquecida.,0,2025-01-05 00:00:00+00:00,Áreas comuns
"O blackout no quarto não funcionou, deixando o quarto muito claro e com sol na cabeceira.",0,2025-01-05 00:00:00+00:00,Quarto
A cama poderia ser maior.,0,2025-07-17 01:07:53+00:00,Quarto
equipe muito bem treinada e cordial,1,2025-07-09 00:38:12+00:00,Atendimento da equipe
quarto limpo,1,2025-01-05 00:00:00+00:00,Quarto
"cafe da manhã com grande variedades de bolos, paes, frios , sucos e frutas",1,2025-01-05 00:00:00+00:00,Café da manhã
piscina no 17 andar com a visão panorâmica do por do sol,1,2025-01-05 00:00:00+00:00,Áreas comuns
funcionários atenciosos e solicitos,1,2025-01-05 00:00:00+00:00,Atendimento da equipe
quartos grandes,1,2025-01-04 00:00:00+00:00,Quarto
tudo bem limpo,1,2025-01-04 00:00:00+00:00,Quarto
o elevador é bem devagar,0,2025-01-04 00:00:00+00:00,Áreas comuns
Ficamos agradados com a limpeza,1,2025-02-11 00:00:00+00:00,Quarto
Ficamos agradados com o conforto,1,2025-02-11 00:00:00+00:00,Quarto
A piscina e bar são excelentes!,1,2025-02-11 00:00:00+00:00,Áreas comuns
"Única coisa que peca são os elevadores, que não são suficientes para a demanda de hóspedes.",0,2025-02-11 00:00:00+00:00,Áreas comuns
"Com frequência, precisamos esperar muito tempo para conseguir pegar o elevador com espaço para entrar",0,2025-02-11 00:00:00+00:00,Áreas comuns
"tivemos que ir algumas vezes de escada, pois já não tinhamos mais paciência para ficar esperando uma vaga no elevador.",0,2025-02-11 00:00:00+00:00,Áreas comuns
café da manhã com muita variedade,1,2025-06-30 15:39:23+00:00,Café da manhã
quartos muito espaçosos,1,2025-06-29 21:37:10+00:00,Quarto
limpeza dos apartamentos sempre com atraso... até agora não foi feita,0,2024-05-05 16:18:31+00:00,Atendimento da equipe
"o colchão é muito ruim, afunda , não dá pra dormir o casal na mesma cama por que afunda",0,2024-05-04 17:40:40+00:00,Quarto
"O local é excelente perto de tudo restaurantes, bares, farmácia etc",1,2024-05-04 17:40:40+00:00,Localização
A limpeza do quarto é boa,1,2024-05-04 17:40:40+00:00,Quarto
Ótimo hotel bem localizado,1,2025-06-27 22:12:54+00:00,Localização
quartos bem silenciosos,1,2025-06-27 22:12:54+00:00,Quarto
próximo a  bons restaurantes,1,2025-06-27 22:12:54+00:00,Localização
pra quem preferir ir de transporte publico as principais atrações da cidade fica próximo ao hotel,1,2025-06-27 22:12:54+00:00,Localização
a piscina no rooftop é muito boa pois é climatizada,1,2025-06-27 22:12:54+00:00,Áreas comuns
Pessoal bastante atencioso e ótimo atendimento em geral.,1,2025-06-25 20:38:37+00:00,Atendimento da equipe
Variedade boa de café da manhã,1,2025-06-25 20:38:37+00:00,Café da manhã
"O hotel fica numa localização muito boa, próximo a restaurantes e bares bem badalados.",1,2025-06-25 20:38:37+00:00,Localização
Único incoveniente é o número reduzido de elevadores.,0,2025-05-24 00:00:00+00:00,Áreas comuns
"Maravilhoso lugar, tranquilo e super agradável.",1,2025-06-19 21:21:17+00:00,Experiência
quartos limpos,1,2025-01-19 00:00:00+00:00,Quarto
café da manhã robusto,1,2025-01-19 00:00:00+00:00,Café da manhã
"no horário de pico eles são insuficientes, muitas vezes desci de escada porque quando chegavam no meu andar estava lotado e eu não conseguia descer",0,2025-01-19 00:00:00+00:00,Áreas comuns
Boa localização.,1,2025-02-21 00:00:00+00:00,Localização
Pessoal da recepção sempre muito solicito.,1,2025-02-21 00:00:00+00:00,Atendimento da equipe
Garçons do bar da piscina tambem.,1,2025-02-21 00:00:00+00:00,Atendimento da equipe
Pouca variedade,0,2025-02-21 00:00:00+00:00,Café da manhã
as ooções não eram muito saborosas.,0,2025-02-21 00:00:00+00:00,Café da manhã
Os sucos não eram naturais.,0,2025-02-21 00:00:00+00:00,Café da manhã
A arrumação dos quartos tambem deixou um pouco a desejar.,0,2025-02-21 00:00:00+00:00,Atendimento da equipe
Várias vezes retornamos dos passeios no meio da tarde e os quartos ainda nao tinham sido arrumado.,0,2025-02-21 00:00:00+00:00,Atendimento da equipe
número de elevadores insuficiente para horários de pico,0,2025-01-06 00:00:00+00:00,Áreas comuns
"Se estiver no décimo andar, por exemplo, pode acontecer de precisar esperar de 10 a 20 minutos pelo elevador, que passará lotado várias vezes",0,2025-01-06 00:00:00+00:00,Áreas comuns
bem limpo,1,2025-04-08 00:00:00+00:00,Quarto
elevador péssimo,0,2024-10-31 00:00:00+00:00,Áreas comuns
Tem boa localização perto de restaurantes e bares,1,2024-10-29 00:00:00+00:00,Localização
"no quarto (801) a limpeza estava deficiente, com cabelos no banheiroe",0,2024-10-29 00:00:00+00:00,Quarto
Quarto grande,1,2024-11-14 00:00:00+00:00,Quarto
muito confortável,1,2024-11-14 00:00:00+00:00,Quarto
"Só tem dois elevadores, com capacidade máxima de 9 pessoas, o que torna ir e vir um suplício",0,2024-11-14 00:00:00+00:00,Áreas comuns
A área de café da manhã é pequena para o número de hospedes,0,2024-11-14 00:00:00+00:00,Café da manhã
academia 24h,1,2024-11-14 00:00:00+00:00,Áreas comuns
preços justos no serviço de quarto,1,2024-11-14 00:00:00+00:00,Atendimento da equipe
"as cortinas pequenas, vc acorda com o nascer do sol?",0,2024-11-29 00:00:00+00:00,Quarto
A piscina é minúscula no Roof top,0,2024-11-29 00:00:00+00:00,Áreas comuns
"música alta, impossível conversar! Pedimos pra baixar e a garçonete disse que era o padrão",0,2024-11-29 00:00:00+00:00,Áreas comuns
camas ruins,0,2024-09-09 00:00:00+00:00,Quarto
