text,class,date,aspect
Ar condicionado do quarto não resfria.,0,2024-11-28 00:00:00+00:00,Quarto
O ar condicionado aparentemente é um pouco antigo,0,2024-08-11 23:03:04+00:00,Quarto
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"O chão da piscina é muito sujo, não dá nem para ficar descalço",0,2024-01-18 00:00:00+00:00,Áreas comuns
Isso deixou o atendimento demorado.,0,2025-07-27 23:43:49+00:00,Atendimento da equipe
Fora o serviço de quarto / governança mexeu em itens pessoais,0,2024-07-22 15:07:43+00:00,Atendimento da equipe
"Jacuzzi suja, choveu não limparam.",0,2024-05-24 14:39:33+00:00,Áreas comuns
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe
"Alguns Funcionários da recepção necessitam de um bom treinamento para atendimento aos hóspedes. Falta-lhes cortesia, bom senso e vontade.",0,2024-02-07 01:42:28+00:00,Atendimento da equipe
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe
O hotel deu pouca atenção a este caso somente comentando que a camareira esqueceu a porta aberta,0,2025-01-24 03:25:27+00:00,Atendimento da equipe
O aparelho de ar condicionado é bem antigo e não gela adequadamente.,0,2024-01-06 11:18:41+00:00,Quarto
Tão sujo que até o filtro do ar condicionado eu precisei limpar.,0,2025-03-21 18:50:48+00:00,Quarto
Cobra estacionamento.,0,2024-11-28 00:00:00+00:00,Áreas comuns
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
Da recepção mais ou menos.,0,2024-05-24 14:39:33+00:00,Atendimento da equipe
limpeza e arrumação do quarto bem ruins,0,2025-08-10 00:00:00+00:00,Quarto
o frigobar não fecha direito,0,2024-03-19 18:37:23+00:00,Quarto
"O blackout não bloqueia a luz direito, o quarto fica claro.",0,2024-01-06 11:18:41+00:00,Quarto
"O ar condicionado é velho e era muito difícil alterar sua configuração (subir/baixar temperatura, aumentar ou diminuir o fluxo de ar).",0,2025-03-14 08:03:25+00:00,Quarto
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto
Isso deixou o atendimento demorado.,0,2025-07-27 23:43:49+00:00,Atendimento da equipe
3 ar condicionado estavam desligados num calor absurdo logo pela manhã,0,2024-03-22 23:53:12+00:00,Quarto
O ar condicionado é péssimo!! Hotel muito quente!!,0,2025-03-01 00:00:00+00:00,Quarto
Quarto sujo,0,2024-01-18 00:00:00+00:00,Quarto
Tão sujo que até o filtro do ar condicionado eu precisei limpar.,0,2025-03-21 18:50:48+00:00,Quarto
na área da piscina ficam tocando música alta o dia inteiro e escuta tudo nos quartos,0,2024-05-13 18:29:21+00:00,Áreas comuns
Tivemos problemas com a garagem que não abria o portão,0,2025-05-07 00:00:00+00:00,Áreas comuns
"Fizemos o check in, o recepcionista entregou os cartões e apenas apontou o elevador.",0,2024-08-16 23:42:17+00:00,Atendimento da equipe
O chão do quarto todo ensebado grudento,0,2024-01-18 00:00:00+00:00,Quarto
"A vedação acústica do meu quarto era ruim,.estava para rua e o barulho de carros e motos era muito nítido.",0,2024-04-19 12:56:50+00:00,Quarto
E a fechadura ainda não estava funcionando bem.,0,2024-08-16 23:42:17+00:00,Quarto
frigobar sujo com pedras de gelo,0,2024-01-18 00:00:00+00:00,Quarto
Quarto poderia ser mais iluminado.,0,2024-06-28 23:28:17+00:00,Quarto
"jacuzzi aquecida, pena as piscinas não serem, não tendo como utilizar em julho",0,2025-07-23 18:40:10+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
melhorar academia,0,2024-11-21 00:00:00+00:00,Áreas comuns
"reclamei que colocaram nos com um bebê de 1 ano no quarto virado pra geral, onde passava várias motos barulhentas a noite toda e tinha vários motores de ar condicionado embaixo da nossa janela, um barulho que parecia um ônibus ligado",0,2025-05-07 00:00:00+00:00,Quarto
