text,class,date,aspect
"achei a estrutura, atendimento dos funcionários perfeito, são gentis, atenciosos, solicitos e uma simpatia fora do padrão dos outros hoteis!",1,2024-04-09 17:43:07+00:00,Atendimento da equipe
"Atendimento nota 1.000, da recepção, ao restaurante e ao bar da piscina.",1,2024-03-27 00:37:51+00:00,Atendimento da equipe
Tudo muito limpo,1,2024-03-27 00:37:51+00:00,Quarto
"atendimento diferenciado pela equipe da recepção, em especial Elvis, Isabelle e Thayane.",1,2024-03-27 00:37:51+00:00,Atendimento da equipe
Equipe do bar sempre em prontidão para oferecer os melhores momentos.,1,2024-03-27 00:37:51+00:00,Atendimento da equipe
funcionários super cordiais,1,2024-02-20 22:10:36+00:00,Atendimento da equipe
precisei solicitar a limpeza e arrumação do quarto todos os dias,0,2025-07-12 00:00:00+00:00,Quarto
fumos bem atendido,1,2025-02-15 00:31:25+00:00,Atendimento da equipe
Funcionários todos muito educados e gentil.,1,2025-01-27 20:16:20+00:00,Atendimento da equipe
"Hotel mais antigo , porém , muito limpo os quartos, roupas de cama.",1,2025-01-27 20:16:20+00:00,Quarto
O quarto era amplo,1,2025-01-14 21:16:58+00:00,Quarto
a cama confortável,1,2025-01-14 21:16:58+00:00,Quarto
O atendimento de todos foi muito cordial e receptivo.,1,2025-01-14 21:16:58+00:00,Atendimento da equipe
funcionários e a estrutura. Fomos muito bem recebidos!,1,2024-11-03 01:05:51+00:00,Atendimento da equipe
Hotel se destaca pela equipe da recepção. Pessoas incrivelmente gentis.,1,2024-09-09 03:04:28+00:00,Atendimento da equipe
Ótimo atendimento!,1,2024-07-22 20:54:35+00:00,Atendimento da equipe
camas confortáveis,1,2024-07-19 21:11:31+00:00,Quarto
local limpo,1,2024-07-19 21:11:31+00:00,Quarto
Atendimento sensacional,1,2024-05-31 17:41:50+00:00,Atendimento da equipe
funcionarios super atenciosos,1,2024-04-10 21:18:57+00:00,Atendimento da equipe
quarto espaçoso,1,2024-04-10 21:18:57+00:00,Quarto
bem confortavel,1,2024-04-10 21:18:57+00:00,Quarto
Tudo muito limpo,1,2024-04-10 21:18:57+00:00,Quarto
os funcionários  são nota DEZ,1,2024-04-10 19:40:36+00:00,Atendimento da equipe
Um dos hotéis com os maiores quartos da cidade.,1,2025-02-19 18:40:26+00:00,Quarto
Gerente poliglota ajuda muito os hóspedes estrangeiros.,1,2025-02-19 18:40:26+00:00,Atendimento da equipe
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
Copos de plástico (??) no frigobar.,0,2025-02-19 18:40:26+00:00,Quarto
Toalhas e roupa de cama um pouco simples demais para a categoria do Hotel.,0,2025-02-19 18:40:26+00:00,Quarto
Tivemos um problema com a reserva do quarto na qual a Recepçao jogou a culpa no site de reserva.,0,2025-02-17 10:47:32+00:00,Atendimento da equipe
Tive Que dormir a Primeira noite com minha filha entre eu e minha muller.,0,2025-02-17 10:47:32+00:00,Quarto
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
Menos mal que me adequaram no dia seguinte apos reclamação.,1,2025-02-17 10:47:32+00:00,Atendimento da equipe
A limpeza é adequada.,1,2025-02-17 10:47:32+00:00,Quarto
Os colaboradores são mt atenciosos.,1,2024-03-25 00:00:00+00:00,Atendimento da equipe
O quarto tem um bom tamanho.,1,2024-03-25 00:00:00+00:00,Quarto
