text,class,date,aspect
o tamanho do quarto,1,2025-06-03 00:00:00+00:00,Quarto
"Hotel impecável , muito limpo",1,2025-05-07 00:00:00+00:00,Quarto
quartos e camas confortáveis,1,2025-05-07 00:00:00+00:00,Quarto
localização no centro e em frente ao shoping,1,2025-05-07 00:00:00+00:00,Localização
A única questão é a piscina que não pega sol,0,2025-05-07 00:00:00+00:00,Áreas comuns
áreas comuns muito bem decoradas,1,2024-09-08 00:00:00+00:00,Áreas comuns
Quarto com cama king e travesseiros confortáveis,1,2024-09-08 00:00:00+00:00,Quarto
"a cama era uma daquelas dobráveis, o que reduz o conforto",0,2024-09-08 00:00:00+00:00,Quarto
espaço apertado,0,2024-09-08 00:00:00+00:00,Quarto
Achei alguns recepcionistas desatentos e um pouco desinteressados,0,2024-09-08 00:00:00+00:00,Atendimento da equipe
Equipe extremamente proativa e cordial.,1,2025-04-01 00:00:00+00:00,Atendimento da equipe
pessoal educado,1,2025-01-27 00:00:00+00:00,Atendimento da equipe
café da manhã delicioso,1,2025-01-27 00:00:00+00:00,Café da manhã
Hotel confortável,1,2024-06-26 00:00:00+00:00,Quarto
Cama extra grande,1,2024-06-25 00:00:00+00:00,Quarto
"O hotel é muito bem localizado, bem central e na frente de um shopping center, o que facilita muito quando estamos col crianças.",1,2025-07-22 21:24:56+00:00,Localização
"Os quartos eram ótimos, muito limpos e climatizados.",1,2025-07-22 21:24:56+00:00,Quarto
"Os quartos eram ótimos, muito limpos e climatizados.",1,2025-07-22 21:24:56+00:00,Quarto
Com camas confortáveis e muito grandes.,1,2025-07-22 21:24:56+00:00,Quarto
Café da manhã bem diversificado e saboroso.,1,2025-07-22 21:24:56+00:00,Café da manhã
Café da manhã bem diversificado e saboroso.,1,2025-07-22 21:24:56+00:00,Café da manhã
as acomodações são bastante confortáveis,1,2024-06-11 00:00:00+00:00,Quarto
"o atendimento da recepção não foi bom, os empregados foram pouco receptivos e amistosos - não me senti a vontade com o atendimento, ao contrario, fiquei incomodado",0,2024-06-11 00:00:00+00:00,Atendimento da equipe
conforto muito bom,1,2024-01-29 00:00:00+00:00,Quarto
limpeza muito bom,1,2024-01-29 00:00:00+00:00,Quarto
Quarto confortável e cama excelente.,1,2025-07-17 00:00:00+00:00,Quarto
Conforto.,1,2025-07-17 00:00:00+00:00,Quarto
"Extremamente limpo e bem conservado, além de organizado.",1,2025-07-17 00:00:00+00:00,Quarto
"Os funcionários são excelentes, além de muito educados e prestativos.",1,2025-07-17 00:00:00+00:00,Atendimento da equipe
Localização excelente.,1,2025-07-13 00:00:00+00:00,Localização
"O hotel fica ao lado de um shopping grande e bem próximo ao centro, o que facilita muito tanto para quem está a trabalho quanto a lazer.",1,2025-07-13 00:00:00+00:00,Localização
"O quarto é simples, mas confortável,",1,2025-07-13 00:00:00+00:00,Quarto
atendimento profissional,1,2025-07-06 00:00:00+00:00,Atendimento da equipe
Confortável,1,2024-08-21 00:00:00+00:00,Quarto
Hotel muito bem localizado no centro de Foz do Iguaçú ao lado de um bom shopping e perto do centro.,1,2024-05-09 00:00:00+00:00,Localização
"Atendimento de todos os funcionários muito bom, são simpáticos e prestativos.",1,2024-05-09 00:00:00+00:00,Atendimento da equipe
Quarto amplo e muito confortável,1,2024-05-09 00:00:00+00:00,Quarto
Quarto amplo e muito confortável,1,2024-05-09 00:00:00+00:00,Quarto
"Bom espaço de lazer (piscina, academia)",1,2024-05-09 00:00:00+00:00,Áreas comuns
"Bom espaço de lazer (piscina, academia)",1,2024-05-09 00:00:00+00:00,Áreas comuns
"O ponto fraco é o café da manhã, muitos pães e salgados mas todos com o mesmo gosto",0,2024-05-09 00:00:00+00:00,Café da manhã
"qualquer pedido extra (ovos, por exemplo) demora muito",0,2024-05-09 00:00:00+00:00,Café da manhã
"As toalhas foram trocadas todos os dias embora tenhamos seguido a recomendação de deixar penduradas as que não precisavam ser trocadas), sustentabilidade fake.",0,2024-05-09 00:00:00+00:00,Quarto
café da manhã maravilhoso,1,2025-07-05 00:00:00+00:00,Café da manhã
atendimento funcionários atenciosos e cordiais,1,2025-07-05 00:00:00+00:00,Atendimento da equipe
quarto grande,1,2025-07-05 00:00:00+00:00,Quarto
roupas de cama impecável,1,2025-07-05 00:00:00+00:00,Quarto
o hotel receber as malas antes do checkin,1,2025-07-05 00:00:00+00:00,Atendimento da equipe
depois do checkout faz muita diferença,1,2025-07-05 00:00:00+00:00,Atendimento da equipe
Café da manhã muito variado e saboroso.,1,2025-07-05 00:00:00+00:00,Café da manhã
Café da manhã muito variado e saboroso.,1,2025-07-05 00:00:00+00:00,Café da manhã
Exceção apenas ao alto nível de ruído da rua pois nosso quarto era na frente do hotel.,0,2025-07-05 00:00:00+00:00,Quarto
Quarto cheiroso,1,2025-06-28 00:00:00+00:00,Quarto
Quarto cheiroso e escuro,1,2025-06-28 00:00:00+00:00,Quarto
Espaçoso,1,2025-06-28 00:00:00+00:00,Quarto
"Cafe da manha sensacional,  muito diferenciado e inovador !",1,2025-06-28 00:00:00+00:00,Café da manhã
Pessoas gentis!!!,1,2025-06-28 00:00:00+00:00,Atendimento da equipe
O recepcionista angolano foi perfeito ! Gentil - super carinhoso !,1,2025-06-28 00:00:00+00:00,Atendimento da equipe
Hotel bem localizado (shopping em frente),1,2025-05-17 00:00:00+00:00,Localização
recepção muito gentil,1,2025-05-17 00:00:00+00:00,Atendimento da equipe
"quarto silencioso (fiquei em um no último andar, no lado oposto à avenida frontal)",1,2025-06-22 00:00:00+00:00,Quarto
amplo e confortável,1,2025-06-22 00:00:00+00:00,Quarto
Há um shopping em frente ao hotel que facilita alguma necessidade rápida,1,2025-06-22 00:00:00+00:00,Localização
para os restaurantes é necessário uma caminhada ou pegar um transporte,0,2025-06-22 00:00:00+00:00,Localização
Há hotéis de boa qualidade mais próximos do comércio,0,2025-06-22 00:00:00+00:00,Localização
cama muito confortável,1,2025-06-20 00:00:00+00:00,Quarto
encantada com o conforto,1,2025-06-17 00:00:00+00:00,Quarto
serviço  de quarto excelente,1,2025-06-17 00:00:00+00:00,Atendimento da equipe
limpeza em todos os ambientes,1,2025-06-17 00:00:00+00:00,Quarto
funcionários sempre recebendo a todos  com sorriso,1,2025-06-17 00:00:00+00:00,Atendimento da equipe
funcionários educados prestativo,1,2025-06-17 00:00:00+00:00,Atendimento da equipe
quartos limpos e cheiroso,1,2025-06-17 00:00:00+00:00,Quarto
hotel silencioso,1,2025-06-17 00:00:00+00:00,Quarto
café da manhã excepcional,1,2025-06-17 00:00:00+00:00,Café da manhã
"O Hotel tem uma localização privilegiada, perto de tudo !.",1,2025-06-16 00:00:00+00:00,Localização
Funcionários atenciosos e corteses.,1,2025-06-16 00:00:00+00:00,Atendimento da equipe
Amei o apto bem iluminado...,1,2025-06-16 00:00:00+00:00,Quarto
"quarto silencioso (fiquei em um no último andar, no lado oposto à avenida frontal)",1,2025-06-14 00:00:00+00:00,Quarto
amplo,1,2025-06-14 00:00:00+00:00,Quarto
confortável,1,2025-06-14 00:00:00+00:00,Quarto
Há um shopping em frente ao hotel que facilita alguma necessidade rápida.,1,2025-06-14 00:00:00+00:00,Localização
para os restaurantes é necessário uma caminhada ou pegar um transporte.,0,2025-06-14 00:00:00+00:00,Localização
Há hotéis de boa qualidade mais próximos do comércio.,0,2025-06-14 00:00:00+00:00,Localização
cama confortável,1,2025-03-25 00:00:00+00:00,Quarto
"os travesseiros muito altos e pouco macios, nao sei se pelo uso de capa protetora, a experiencia nao foi agradável",0,2025-03-25 00:00:00+00:00,Quarto
"mesmo o hotel rapidamente nos atendendo com travesseiros mais finos, o uso continou desconfortável",0,2025-03-25 00:00:00+00:00,Quarto
"infelizmente tivemos a péssima sorte de encontrar uma barata pequena caminhando a noite, no escuro em cima da cama de solteiro",0,2025-03-25 00:00:00+00:00,Quarto
"comentei com o Rodrigo e mostrei a foto, que prontamente reforçou a limpeza do quarto",1,2025-03-25 00:00:00+00:00,Quarto
"lobby, bar, jantar, piscina e etc muito bem decorados e de muito bom gosto e atemporal",1,2025-03-25 00:00:00+00:00,Quarto
moveis confortaveis e em cores neutras,1,2025-03-25 00:00:00+00:00,Quarto
corredores limpos,1,2025-03-25 00:00:00+00:00,Quarto
Mesmo depois de chamar a manutenção os problemas não foram solucionados,0,2024-07-21 00:00:00+00:00,Atendimento da equipe
Excelente localização.,1,2025-06-06 00:00:00+00:00,Localização
"A localização é excelente, em frente ao JL Shopping.",1,2025-06-06 00:00:00+00:00,Localização
Café da manhã bem diversificado.,1,2025-06-06 00:00:00+00:00,Café da manhã
"Quarto confortável, acomodou bem 03 pessoas.",1,2025-06-06 00:00:00+00:00,Quarto
cama excelente,1,2025-05-18 00:00:00+00:00,Quarto
atendentes educados,1,2025-05-18 00:00:00+00:00,Atendimento da equipe
"se vc for comer alguma coisa no frigobar e da mesa  pergunta o preço primeiro, pois tomei prejuízo nesse hotel!!!!",0,2025-04-27 21:23:13+00:00,Quarto
"o quarto era desconfortável, a cama era ruim",0,2025-01-29 14:00:38+00:00,Quarto
o ar condicionado não funcionava direito (ainda ficava muito quente),0,2025-01-29 14:00:38+00:00,Quarto
café da manhã maravilhoso com muitas opções,1,2025-01-16 23:54:18+00:00,Café da manhã
quarto bonito e bem limpo,1,2025-01-16 23:54:18+00:00,Quarto
funcionários atenciosos,1,2025-01-16 23:54:18+00:00,Atendimento da equipe
"assim que chegamos ao realizar o check-in o hotel tinha reserva somente para uma pessoa, sendo que fizemos corretamente a reserva",0,2025-01-16 19:30:31+00:00,Atendimento da equipe
O atendente simplesmente lavou as mãos e não levantou uma palha para nos ajudar,0,2025-01-16 19:30:31+00:00,Atendimento da equipe
o estacionamento também não é incluso nas diárias,0,2025-01-16 19:30:31+00:00,Áreas comuns
"Localizado bem no centro de Foz do Iguaçu, em frente ao shopping Cataratas, de fácil acesso.",1,2024-11-04 14:00:34+00:00,Localização
Café da manhã com muita variedade de alimentos e sucos.,1,2024-11-04 14:00:34+00:00,Café da manhã
"Atendimento fácil e rápido, atendentes atenciosos!",1,2024-11-04 14:00:34+00:00,Atendimento da equipe
quartos limpos,1,2024-08-08 19:56:17+00:00,Quarto
cama confortável,1,2024-08-08 19:56:17+00:00,Quarto
localização muito boa de frente para o shopping,1,2024-07-26 16:54:06+00:00,Localização
Funcionarios cordiais,1,2024-07-21 12:03:15+00:00,Atendimento da equipe
limpeza impecável,1,2024-07-21 12:03:15+00:00,Quarto
Área da piscina muito bem servida,1,2024-07-21 12:03:15+00:00,Áreas comuns
café da manhã excelente,1,2024-03-12 10:58:01+00:00,Café da manhã
Quartos bem limpos,1,2024-03-12 10:58:01+00:00,Quarto
O staff é educado e atento às demandas dos hóspedes,1,2024-03-12 10:58:01+00:00,Atendimento da equipe
"Atendimento bom, tiraram várias dúvidas pra gente",1,2024-03-11 09:57:44+00:00,Atendimento da equipe
quarto sempre bem limpo,1,2024-03-11 09:57:44+00:00,Quarto
Quarto amplo,1,2024-04-16 00:00:00+00:00,Quarto
Quarto confortável,1,2024-04-16 00:00:00+00:00,Quarto
em frente a um bom shopping,1,2024-03-27 00:00:00+00:00,Localização
Limpeza e quartos excelentes,1,2024-03-27 00:00:00+00:00,Quarto
"Pode ser barulhento quando houver evento. O hotel estava com um evento. À noite a banda tocava música boa, mas em som absurdamente alto para quem não era da festa e precisava dormir.",0,2025-03-16 00:00:00+00:00,Quarto
Travesseiros e café da manhã podem ser muito melhores.,0,2025-03-16 00:00:00+00:00,Quarto
limpeza e organização nota 10,1,2024-03-13 07:41:24+00:00,Quarto
café da manhã variado e gostoso,1,2024-03-13 07:41:24+00:00,Café da manhã
Ah e o melhor em frente ao Shopping JL que é do mesmo Grupo do Hotel,1,2024-03-13 07:41:24+00:00,Localização
apenas uma ressalva para a acustica nao tem muito bloqueio de ruido,0,2025-04-06 00:00:00+00:00,Quarto
"Hotel muito bem localizado, o que facilitou o transporte para os locais turísticos.",1,2024-10-15 00:00:00+00:00,Localização
"a cordialidade e a maneira com que fui tratado, superou completamente",1,2025-01-13 00:00:00+00:00,Atendimento da equipe
"o café da manhã estava com o salão sujo, se caia um pão no chão as 6 da manhã ficava lá até terminar o café,  várias pessoas ajeitando a mesa",0,2025-01-06 00:00:00+00:00,Café da manhã
faltava reposição de  produtos,0,2025-01-06 00:00:00+00:00,Café da manhã
cama King com lençol pequeno  ficamos em contato com o colchão sem capa ou protetor,0,2025-01-06 00:00:00+00:00,Quarto
hotel eficiente desde o check in ao check out,1,2024-12-09 00:00:00+00:00,Atendimento da equipe
hotel eficiente desde o check in ao check out,1,2024-12-09 00:00:00+00:00,Atendimento da equipe
o hotel prima no atendimento na educação de todos os funcionários nos cuidados com os hospedes,1,2024-12-09 00:00:00+00:00,Atendimento da equipe
