text,class,date,aspect,score
A ilha de tapioca é sempre aberta após às 8horas e como os passeios sempre antes das 7:30 não conseguimos provar nenhum dia!,0,2024-05-09 00:00:00+00:00,Café da manhã,0.02326156
"Faltou empatia/cortezia ao solicitar que gelasse uma garrafa de espumante para levar na casa de um amigo, foi negado pela recepção do restaurante.",0,2024-11-05 00:00:00+00:00,Atendimento da equipe,0.012750296
Atendimento deixou muito a desejar.,0,2024-02-22 00:00:00+00:00,Atendimento da equipe,0.14390822
"mesmo o hotel rapidamente nos atendendo com travesseiros mais finos, o uso continou desconfortável",0,2025-03-25 00:00:00+00:00,Quarto,0.018893931
ap com cadeira quebrada,0,2025-06-06 00:00:00+00:00,Quarto,0.014756693
"Camas bem espaçosas, apenas o travesseiro achei um pouco alto.",0,2025-07-24 00:00:00+00:00,Quarto,0.17941089
serviço pedido na piscina não são atendidos,0,2024-12-31 15:05:50+00:00,Atendimento da equipe,0.09165339
"assim que chegamos ao realizar o check-in o hotel tinha reserva somente para uma pessoa, sendo que fizemos corretamente a reserva",0,2025-01-16 19:30:31+00:00,Atendimento da equipe,0.39678773
A ilha de tapioca é sempre aberta após às 8horas e como os passeios sempre antes das 7:30 não conseguimos provar nenhum dia!,0,2024-05-09 00:00:00+00:00,Café da manhã,0.02326156
"Novamente, tive que trocar de quarto, e fiquei sem comer mais 1 noite.",0,2025-07-09 00:34:52+00:00,Atendimento da equipe,0.023527073
No café faltou em um dos dias manteiga.,0,2024-11-08 00:00:00+00:00,Café da manhã,0.41228622
"Disseram que iam me trocar de quarto, mas começaram a atender outras pessoas na minha frente",0,2025-02-12 17:07:58+00:00,Atendimento da equipe,0.091268525
Cobram estacionamento até para motos,0,2024-08-02 00:00:00+00:00,Áreas comuns,0.38008156
"quando precisei ligar para a recepção, várias tentativas e o ligação não foi atendida",0,2024-08-18 07:53:28+00:00,Atendimento da equipe,0.24005166
Precisam apenas ter maior atenção na limpeza da piscina e arredores,0,2024-06-21 00:00:00+00:00,Áreas comuns,0.41412413
"Primeiro, check in muito lento.",0,2024-10-25 01:45:54+00:00,Atendimento da equipe,0.021492226
"No check-out, queriam que eu fosse embora sem o meu troco",0,2024-08-29 00:00:00+00:00,Atendimento da equipe,0.11275099
"Não temos sol na piscina no período da tarde, por isso não conseguimos aproveita-la!",0,2024-05-09 00:00:00+00:00,Áreas comuns,0.19489394
Não fosse a cama diria que a estadia seria boa!,0,2024-07-02 03:12:27+00:00,Quarto,0.9832649
"Cama tem muito bounce (muita mola, pula muito) e travesseiro é extremamente alto. Desconfortável dormir.",0,2024-04-15 02:06:05+00:00,Quarto,0.011665314
"Outro ponto de atenção, foi o momento de Check-out. Ao realizar o meu checkout fiz o pagamento das despesas consumidas no hotel. Porem, após chegar em casa, recebi uma mensagem do hotel, informando que estava pendente o pagamento que havia feito no checkout.",0,2024-01-02 00:00:00+00:00,Atendimento da equipe,0.28459778
A falta de ar condicionado nos corredores dos quartos e elevadores gera muito desconforto.,0,2024-04-01 00:00:00+00:00,Quarto,0.028958209
