description,sentiment,category,hotel_id,review_posted_at
"Os funcionários são excelentes, a energia do mesmo é contagiante, amei tudo, recepção ( os meninos e a Sara)",1,Atendimento da equipe,foz_plaza,2025-03-25 15:57:20+00:00
conforto,1,Quarto,foz_plaza,2025-03-25 15:57:20+00:00
limpeza,1,Quarto,foz_plaza,2025-03-25 15:57:20+00:00
piscina,1,Áreas comuns,foz_plaza,2025-03-25 15:57:20+00:00
serviços de quarto,1,Atendimento da equipe,foz_plaza,2024-08-27 13:55:56+00:00
O hotel conta com piscinas,1,Áreas comuns,foz_plaza,2024-08-27 13:55:56+00:00
O hotel conta com ... academia,1,Áreas comuns,foz_plaza,2024-08-27 13:55:56+00:00
O hotel conta com ... sauna e SPA de massagem,1,Áreas comuns,foz_plaza,2024-08-27 13:55:56+00:00
quarto confortável,1,Quarto,foz_plaza,2025-07-21 00:00:00+00:00
atendentes prestativos,1,Atendimento da equipe,foz_plaza,2025-07-21 00:00:00+00:00
"a área Kids dele é muito boa, tem até monitora",1,Áreas comuns,foz_plaza,2025-07-13 00:00:00+00:00
Todos os atendentes muito educados e cordiais!,1,Atendimento da equipe,foz_plaza,2025-07-13 00:00:00+00:00
Profissionais super atenciosos,1,Atendimento da equipe,foz_plaza,2025-07-02 00:00:00+00:00
"Excelente atendimento, limpeza, organização.",1,Atendimento da equipe,foz_plaza,2025-06-22 00:00:00+00:00
quarto confortável,1,Quarto,foz_plaza,2025-06-21 00:00:00+00:00
Atendimento Excelente,1,Atendimento da equipe,foz_plaza,2025-03-07 13:35:48+00:00
Ótimo atendimento,1,Atendimento da equipe,foz_plaza,2024-05-18 01:07:30+00:00
Limpo.,1,Quarto,foz_plaza,2024-02-16 12:53:56+00:00
Esse povo que está reclamando de barulho de carro,1,Quarto,foz_plaza,2024-02-06 10:01:12+00:00
Esse povo que está reclamando de ar condicionado,1,Quarto,foz_plaza,2024-02-06 10:01:12+00:00
quarto grande e bem conservado,1,Quarto,foz_plaza,2024-02-02 21:12:24+00:00
funcionários sempre gentis,1,Atendimento da equipe,foz_plaza,2024-02-02 21:12:24+00:00
Só faltou academia que já está no projeto deles para este ano,0,Áreas comuns,foz_plaza,2024-01-19 13:21:33+00:00
