text,class,date,aspect,score
a relação custo benefício do hotel não compensa,0,2024-12-02 19:54:51+00:00,Experiência,0.08230495
Café da Manhã com poucas opções,0,2024-04-16 21:29:37+00:00,Café da manhã,0.18610972
"Depois disso meu marido também teve um desacordo com Adalto em relação ao cartão que abre o quarto, ele simplesmente não queria liberar novamente o cartão para consumo pois havíamos perdido o outro cartão!",0,2024-04-23 19:18:20+00:00,Atendimento da equipe,0.02239096
"Recepção foi eficiente porém não é simpática e essa cidade é turística, então poderia melhorar.",0,2024-03-22 00:00:00+00:00,Atendimento da equipe,0.017581668
Jantar muito caro,0,2024-05-18 00:00:00+00:00,Restaurante/Bar,0.03371772
São 2 abajurs com luz fortissima e 1 luz de teto com abajur. Precisava de um dimer para baixar esta luz.,0,2025-06-23 00:00:00+00:00,Quarto,0.23159344
a relação custo benefício do hotel não compensa,0,2024-12-02 19:54:51+00:00,Experiência,0.08230495
"Na cozinha os pratos também são bem ruins, comida sem gosto, sem sabor.",0,2025-01-20 22:39:41+00:00,Restaurante/Bar,0.012057756
Valor do buffet jantar  muito alto pela qualidade da comida e o que oferece,0,2024-07-10 00:00:00+00:00,Restaurante/Bar,0.96735346
"No check in (que foi de madrugada) questionei sobre o welcome drink e disseram que não tinha nada na reserva, que era pra verificar no dia seguinte (somente assim consegui).",0,2025-06-24 00:00:00+00:00,Atendimento da equipe,0.38370198
"Achei um pouco absurdo  cobrarem R$ 10,00 por 200ml de leite, mas acho que isso é um detalhe…",0,2024-07-31 00:00:00+00:00,Restaurante/Bar,0.011761538
"Quartos espartanos, oferecem pouco conforto.",0,2025-01-04 00:00:00+00:00,Quarto,0.0797997
As opções do bar/restaurante são caras,0,2024-07-28 07:26:42+00:00,Restaurante/Bar,0.01946294
queria entender pq os hotéis cobram tão caro pelas bebidas,0,2024-02-17 17:15:20+00:00,Restaurante/Bar,0.04621135
ar condicionado com ruídos e refrigera pouco (necessita de manutenção urgente ),0,2024-12-30 00:00:00+00:00,Quarto,0.045381986
A piscina era menor do que a foto mostrava,0,2024-01-17 00:00:00+00:00,Áreas comuns,0.45660174
Além de tocarem a campainha do nada. Só para escutarem o som da campainha.,0,2025-07-14 11:45:09+00:00,Quarto,0.5899341
A cústica é ruim ouvimos as pessoas e televisão do quarto ao lado.,0,2025-06-23 00:00:00+00:00,Quarto,0.010131446
a moça que estava na nossa frente questionou o porque e achou que houve uma certa discriminação conosco,0,2024-01-02 23:04:32+00:00,Atendimento da equipe,0.067904666
O espaço do café da manhã é insuficiente,0,2025-03-18 11:42:22+00:00,Café da manhã,0.029002028
"Mas a acústica é terrível. Fiquei em um quarto, no térreo, ao lado da piscina, e ouvia o pessoal conversando no bar (dentro do hotel mesmo) até o fechamento do mesmo, fora as batidas de porta e tal",0,2024-09-09 00:00:00+00:00,Quarto,0.11415431
um garçom me desrespeitou na piscina e ainda me ameaçou,0,2024-01-19 00:00:00+00:00,Áreas comuns,0.0134786265
O café da manhã era mais bonito que bom,0,2024-02-14 00:00:00+00:00,Café da manhã,0.98981005
"A experiência do check in com esse indivíduo foi péssima, uma pessoa mal humorada, em nenhum momento fez questão de ser educado ou hospitaleiro, fazendo com que a primeira impressão fosse desagradável.",0,2024-04-23 00:00:00+00:00,Atendimento da equipe,0.012171615
Café da Manhã com poucas opções,0,2024-04-16 21:29:37+00:00,Café da manhã,0.18610972
ar condicionado com problemas,0,2024-08-17 00:00:00+00:00,Quarto,0.035572574
"a limpeza do quarto deixou a desejar, pois percebi que não estava tão bem cuidada quanto esperado.",0,2024-11-07 13:56:30+00:00,Quarto,0.0410859
as portas precisam sem coladas isolador pois infelizmente os demais hospedas cedo ou tarde passam falando alto e isso é chato!,0,2024-06-08 00:00:00+00:00,Quarto,0.009672774
a campainha do apto ao lado era muito forte e me acordava,0,2024-01-23 18:23:24+00:00,Quarto,0.14243278
Almoço com macarrão tão salgado que tivemos que pedir para retornar.,0,2024-03-22 16:13:42+00:00,Restaurante/Bar,0.04274652
As opções do bar/restaurante são caras,0,2024-07-28 07:26:42+00:00,Restaurante/Bar,0.01946294
Piscina podia ser maior,0,2025-01-20 00:00:00+00:00,Áreas comuns,0.43474707
São 2 abajurs com luz fortissima e 1 luz de teto com abajur. Precisava de um dimer para baixar esta luz.,0,2025-06-23 00:00:00+00:00,Quarto,0.23159344
como ponto a ser melhorado seria a troca dos colchões e opções de travesseiros mais altos e duros,0,2025-06-13 21:11:03+00:00,Quarto,0.26080185
Bar da piscina um completo desastre!,0,2025-01-13 16:44:09+00:00,Áreas comuns,0.016244134
Cobrar estacionamento dos hóspedes é patético… R$ 15 por dia.,0,2025-06-24 00:00:00+00:00,Áreas comuns,0.01057639
