description,sentiment,category,hotel_id,review_posted_at
"Muito bem localizado, com farmácias, restaurantes e supermercados proximos",1,Localização,viale_tower,2025-07-21 22:19:15+00:00
quartos limpos,1,Quarto,viale_tower,2025-07-20 01:11:25+00:00
café da manhã com boas opções e variedades,1,Café da manhã,viale_tower,2025-07-20 01:11:25+00:00
funcionários muitos atenciosos,1,Atendimento da equipe,viale_tower,2025-07-20 01:11:25+00:00
tem elevador para facilitar o acesso,1,Áreas comuns,viale_tower,2025-07-19 22:27:33+00:00
O quarto que fiquei com duas camas de casal era de bom tamanho e super aconchegante,1,Quarto,viale_tower,2025-07-19 22:27:33+00:00
Cama confortável,1,Quarto,viale_tower,2025-07-19 22:27:33+00:00
local limpo,1,Quarto,viale_tower,2025-07-19 22:27:33+00:00
Café da manhã gostoso com várias opções,1,Café da manhã,viale_tower,2025-07-19 22:27:33+00:00
A piscina não estava aquecida.,0,Áreas comuns,viale_tower,2025-01-05 00:00:00+00:00
"O blackout no quarto não funcionou, deixando o quarto muito claro e com sol na cabeceira.",0,Quarto,viale_tower,2025-01-05 00:00:00+00:00
A cama poderia ser maior.,0,Quarto,viale_tower,2025-07-17 01:07:53+00:00
equipe muito bem treinada e cordial,1,Atendimento da equipe,viale_tower,2025-07-09 00:38:12+00:00
quarto limpo,1,Quarto,viale_tower,2025-01-05 00:00:00+00:00
"cafe da manhã com grande variedades de bolos, paes, frios , sucos e frutas",1,Café da manhã,viale_tower,2025-01-05 00:00:00+00:00
piscina no 17 andar com a visão panorâmica do por do sol,1,Áreas comuns,viale_tower,2025-01-05 00:00:00+00:00
funcionários atenciosos e solicitos,1,Atendimento da equipe,viale_tower,2025-01-05 00:00:00+00:00
quartos grandes,1,Quarto,viale_tower,2025-01-04 00:00:00+00:00
tudo bem limpo,1,Quarto,viale_tower,2025-01-04 00:00:00+00:00
o elevador é bem devagar,0,Áreas comuns,viale_tower,2025-01-04 00:00:00+00:00
Ficamos agradados com a limpeza,1,Quarto,viale_tower,2025-02-11 00:00:00+00:00
Ficamos agradados com o conforto,1,Quarto,viale_tower,2025-02-11 00:00:00+00:00
A piscina e bar são excelentes!,1,Áreas comuns,viale_tower,2025-02-11 00:00:00+00:00
"Única coisa que peca são os elevadores, que não são suficientes para a demanda de hóspedes.",0,Áreas comuns,viale_tower,2025-02-11 00:00:00+00:00
"Com frequência, precisamos esperar muito tempo para conseguir pegar o elevador com espaço para entrar",0,Áreas comuns,viale_tower,2025-02-11 00:00:00+00:00
"tivemos que ir algumas vezes de escada, pois já não tinhamos mais paciência para ficar esperando uma vaga no elevador.",0,Áreas comuns,viale_tower,2025-02-11 00:00:00+00:00
café da manhã com muita variedade,1,Café da manhã,viale_tower,2025-06-30 15:39:23+00:00
quartos muito espaçosos,1,Quarto,viale_tower,2025-06-29 21:37:10+00:00
limpeza dos apartamentos sempre com atraso... até agora não foi feita,0,Atendimento da equipe,viale_tower,2024-05-05 16:18:31+00:00
"o colchão é muito ruim, afunda , não dá pra dormir o casal na mesma cama por que afunda",0,Quarto,viale_tower,2024-05-04 17:40:40+00:00
"O local é excelente perto de tudo restaurantes, bares, farmácia etc",1,Localização,viale_tower,2024-05-04 17:40:40+00:00
A limpeza do quarto é boa,1,Quarto,viale_tower,2024-05-04 17:40:40+00:00
Ótimo hotel bem localizado,1,Localização,viale_tower,2025-06-27 22:12:54+00:00
quartos bem silenciosos,1,Quarto,viale_tower,2025-06-27 22:12:54+00:00
próximo a  bons restaurantes,1,Localização,viale_tower,2025-06-27 22:12:54+00:00
pra quem preferir ir de transporte publico as principais atrações da cidade fica próximo ao hotel,1,Localização,viale_tower,2025-06-27 22:12:54+00:00
a piscina no rooftop é muito boa pois é climatizada,1,Áreas comuns,viale_tower,2025-06-27 22:12:54+00:00
Pessoal bastante atencioso e ótimo atendimento em geral.,1,Atendimento da equipe,viale_tower,2025-06-25 20:38:37+00:00
Variedade boa de café da manhã,1,Café da manhã,viale_tower,2025-06-25 20:38:37+00:00
"O hotel fica numa localização muito boa, próximo a restaurantes e bares bem badalados.",1,Localização,viale_tower,2025-06-25 20:38:37+00:00
Único incoveniente é o número reduzido de elevadores.,0,Áreas comuns,viale_tower,2025-05-24 00:00:00+00:00
"Maravilhoso lugar, tranquilo e super agradável.",1,Experiência,viale_tower,2025-06-19 21:21:17+00:00
quartos limpos,1,Quarto,viale_tower,2025-01-19 00:00:00+00:00
café da manhã robusto,1,Café da manhã,viale_tower,2025-01-19 00:00:00+00:00
"no horário de pico eles são insuficientes, muitas vezes desci de escada porque quando chegavam no meu andar estava lotado e eu não conseguia descer",0,Áreas comuns,viale_tower,2025-01-19 00:00:00+00:00
Boa localização.,1,Localização,viale_tower,2025-02-21 00:00:00+00:00
Pessoal da recepção sempre muito solicito.,1,Atendimento da equipe,viale_tower,2025-02-21 00:00:00+00:00
Garçons do bar da piscina tambem.,1,Atendimento da equipe,viale_tower,2025-02-21 00:00:00+00:00
Pouca variedade,0,Café da manhã,viale_tower,2025-02-21 00:00:00+00:00
as ooções não eram muito saborosas.,0,Café da manhã,viale_tower,2025-02-21 00:00:00+00:00
Os sucos não eram naturais.,0,Café da manhã,viale_tower,2025-02-21 00:00:00+00:00
A arrumação dos quartos tambem deixou um pouco a desejar.,0,Atendimento da equipe,viale_tower,2025-02-21 00:00:00+00:00
Várias vezes retornamos dos passeios no meio da tarde e os quartos ainda nao tinham sido arrumado.,0,Atendimento da equipe,viale_tower,2025-02-21 00:00:00+00:00
número de elevadores insuficiente para horários de pico,0,Áreas comuns,viale_tower,2025-01-06 00:00:00+00:00
"Se estiver no décimo andar, por exemplo, pode acontecer de precisar esperar de 10 a 20 minutos pelo elevador, que passará lotado várias vezes",0,Áreas comuns,viale_tower,2025-01-06 00:00:00+00:00
bem limpo,1,Quarto,viale_tower,2025-04-08 00:00:00+00:00
elevador péssimo,0,Áreas comuns,viale_tower,2024-10-31 00:00:00+00:00
Tem boa localização perto de restaurantes e bares,1,Localização,viale_tower,2024-10-29 00:00:00+00:00
"no quarto (801) a limpeza estava deficiente, com cabelos no banheiroe",0,Quarto,viale_tower,2024-10-29 00:00:00+00:00
A área de café da manhã é pequena para o número de hospedes,0,Café da manhã,viale_tower,2024-11-14 00:00:00+00:00
preços justos no serviço de quarto,1,Atendimento da equipe,viale_tower,2024-11-14 00:00:00+00:00
Quarto grande,1,Quarto,viale_tower,2024-11-14 00:00:00+00:00
muito confortável,1,Quarto,viale_tower,2024-11-14 00:00:00+00:00
"Só tem dois elevadores, com capacidade máxima de 9 pessoas, o que torna ir e vir um suplício",0,Áreas comuns,viale_tower,2024-11-14 00:00:00+00:00
academia 24h,1,Áreas comuns,viale_tower,2024-11-14 00:00:00+00:00
"as cortinas pequenas, vc acorda com o nascer do sol?",0,Quarto,viale_tower,2024-11-29 00:00:00+00:00
A piscina é minúscula no Roof top,0,Áreas comuns,viale_tower,2024-11-29 00:00:00+00:00
"música alta, impossível conversar! Pedimos pra baixar e a garçonete disse que era o padrão",0,Áreas comuns,viale_tower,2024-11-29 00:00:00+00:00
camas ruins,0,Quarto,viale_tower,2024-09-09 00:00:00+00:00
lençóis e toalhas surradas,0,Quarto,viale_tower,2024-09-09 00:00:00+00:00
Localização bacana para quem gosta de bares temáticos etc.,1,Localização,viale_tower,2024-09-09 00:00:00+00:00
Quarto bom e amplo,1,Quarto,viale_tower,2025-05-20 00:00:00+00:00
muito limpo,1,Quarto,viale_tower,2025-05-20 00:00:00+00:00
