text,class,date,aspect
"Pelas fotos e avaliações, tinha uma expectativa que fosse melhor.",0,2024-03-31 00:00:00+00:00,Experiência
Piscina no último andar só até as 18h.,0,2024-01-09 00:00:00+00:00,Áreas comuns
Mal atendimento na recepção,0,2024-03-07 00:00:00+00:00,Atendimento da equipe
so poderia iniciar às 6h00,0,2025-04-12 00:00:00+00:00,Café da manhã
Cama extremamente suja por baixo e barulhenta!,0,2024-12-10 08:01:01+00:00,Quarto
"Só tem dois elevadores, com capacidade máxima de 9 pessoas, o que torna ir e vir um suplício",0,2024-11-14 00:00:00+00:00,Áreas comuns
"Pelas fotos e avaliações, tinha uma expectativa que fosse melhor.",0,2024-03-31 00:00:00+00:00,Experiência
O hotel só peca nos elevadores que estão congestionados nos horários de pico,0,2024-10-23 10:14:20+00:00,Áreas comuns
"Os elevadores, conforme varios relatos anteriores, realmente sao demorados.",0,2025-02-10 00:00:00+00:00,Áreas comuns
sujo,0,2024-07-26 00:00:00+00:00,Quarto
Quarto e banheiro sujos,0,2024-07-17 00:00:00+00:00,Quarto
"único problema do hotel são os elevadores, poucos pra comportar a quantidade de hóspedes, somente 2 pra um hotel de 16 andares e 10 aptos por andar. Muita gente pra pouco elevador. São demorados.",0,2025-04-14 00:00:00+00:00,Áreas comuns
"Diária caríssima, incompatível com o hotel",0,2024-10-13 00:00:00+00:00,Experiência
Por vários momentos ficamos mais de 30 min para entrar no elevador.,0,2025-01-10 00:00:00+00:00,Áreas comuns
O ck in é confuso; pedem os dados novamente apesar de já ter me hospedado outras vezes ali.,0,2024-06-12 21:28:50+00:00,Atendimento da equipe
frigobar poderia ter mais variedades,0,2025-02-13 00:00:00+00:00,Quarto
o elevador estava mal programado na minha visita,0,2025-02-15 16:05:07+00:00,Áreas comuns
simplesmente não incomoda a equipe que arruma os quartos,0,2024-08-17 21:57:31+00:00,Atendimento da equipe
"no quarto não tinha tomada dos dois lados da cama, fez bastante falta para deixar nossos celulares e power bank carregando durante a noite",0,2024-04-29 00:00:00+00:00,Quarto
O atendimento na recepção foi muito ruim.,0,2024-08-28 00:00:00+00:00,Atendimento da equipe
pelo mesmo valor você vai encontrar opções de resort na rodovia das cataratas com serviço bem melhor.,0,2024-06-12 21:28:50+00:00,Experiência
