text,class,date,aspect,score
"Pelas fotos e avaliações, tinha uma expectativa que fosse melhor.",0,2024-03-31 00:00:00+00:00,Experiência,0.8454628
Piscina no último andar só até as 18h.,0,2024-01-09 00:00:00+00:00,Áreas comuns,0.26578796
Mal atendimento na recepção,0,2024-03-07 00:00:00+00:00,Atendimento da equipe,0.09243086
so poderia iniciar às 6h00,0,2025-04-12 00:00:00+00:00,Café da manhã,0.43394515
Cama extremamente suja por baixo e barulhenta!,0,2024-12-10 08:01:01+00:00,Quarto,0.08019607
"Só tem dois elevadores, com capacidade máxima de 9 pessoas, o que torna ir e vir um suplício",0,2024-11-14 00:00:00+00:00,Áreas comuns,0.44632515
"Pelas fotos e avaliações, tinha uma expectativa que fosse melhor.",0,2024-03-31 00:00:00+00:00,Experiência,0.8454628
O hotel só peca nos elevadores que estão congestionados nos horários de pico,0,2024-10-23 10:14:20+00:00,Áreas comuns,0.011120745
"Os elevadores, conforme varios relatos anteriores, realmente sao demorados.",0,2025-02-10 00:00:00+00:00,Áreas comuns,0.011571662
sujo,0,2024-07-26 00:00:00+00:00,Quarto,0.025233286
Quarto e banheiro sujos,0,2024-07-17 00:00:00+00:00,Quarto,0.2619728
"único problema do hotel são os elevadores, poucos pra comportar a quantidade de hóspedes, somente 2 pra um hotel de 16 andares e 10 aptos por andar. Muita gente pra pouco elevador. São demorados.",0,2025-04-14 00:00:00+00:00,Áreas comuns,0.0139589915
"Diária caríssima, incompatível com o hotel",0,2024-10-13 00:00:00+00:00,Experiência,0.012669166
Por vários momentos ficamos mais de 30 min para entrar no elevador.,0,2025-01-10 00:00:00+00:00,Áreas comuns,0.07354699
O ck in é confuso; pedem os dados novamente apesar de já ter me hospedado outras vezes ali.,0,2024-06-12 21:28:50+00:00,Atendimento da equipe,0.009709438
frigobar poderia ter mais variedades,0,2025-02-13 00:00:00+00:00,Quarto,0.44099975
o elevador estava mal programado na minha visita,0,2025-02-15 16:05:07+00:00,Áreas comuns,0.017556533
simplesmente não incomoda a equipe que arruma os quartos,0,2024-08-17 21:57:31+00:00,Atendimento da equipe,0.010915633
"no quarto não tinha tomada dos dois lados da cama, fez bastante falta para deixar nossos celulares e power bank carregando durante a noite",0,2024-04-29 00:00:00+00:00,Quarto,0.02463018
O atendimento na recepção foi muito ruim.,0,2024-08-28 00:00:00+00:00,Atendimento da equipe,0.0326291
pelo mesmo valor você vai encontrar opções de resort na rodovia das cataratas com serviço bem melhor.,0,2024-06-12 21:28:50+00:00,Experiência,0.8646717
A área de café da manhã é pequena para o número de hospedes,0,2024-11-14 00:00:00+00:00,Café da manhã,0.33189672
A venda extra de pacotes para o pôr do sol está prejudicando o hóspede.,0,2025-03-18 00:00:00+00:00,Áreas comuns,0.01915487
no café da manhã eles ficam toda hora recolhendo as nossas louças,0,2025-06-03 11:21:18+00:00,Café da manhã,0.31901634
Qdo o hotel ficou cheio no final de semana levamos um bom tempo para descer do 15 andar,0,2024-12-06 00:00:00+00:00,Áreas comuns,0.47757128
"A atenção da equipe, compensou a lentidão do elevador.",0,2024-09-08 00:00:00+00:00,Áreas comuns,0.4140358
"o café da manhã, que é básico e sem destaques especiais.",0,2024-07-04 00:00:00+00:00,Café da manhã,0.18664625
Poderiam diminuir o valor,0,2025-04-27 14:44:02+00:00,Áreas comuns,0.32909274
Piscina no último andar só até as 18h.,0,2024-01-09 00:00:00+00:00,Áreas comuns,0.26578796
Péssimo custo-beneficio!,0,2024-12-10 08:01:01+00:00,Experiência,0.010217953
porém é notável a falta de manutenção e limpeza nas áreas comuns.,0,2024-08-22 00:00:00+00:00,Áreas comuns,0.026679195
Os colchões são moles demais!!,0,2024-09-15 13:23:11+00:00,Quarto,0.016617987
"A piscina tem boa vista, mas fecha cedo (18h), pois o local abre um bar para os visitantes da cidade, o que conflita com a área de lazer dos hospedes.. ponto negativo para isto.",0,2024-02-05 00:00:00+00:00,Áreas comuns,0.037626762
"O pior foi em um dia, deixar o quarto às 12h20 e voltar às 19h e encontrar nosso quarto com a porta ABERTA, achei isso um absurdo, a camareira arrumou o quarto e largou aberto, sorte nenhum pertence ter sumido.",0,2024-11-21 13:51:04+00:00,Atendimento da equipe,0.010933785
"Neste ano, eliminaram a ceia e deixaram somente a programação na piscina, com valor de R$600,00 por hóspede, achamos caro em relação ao que pagamos nos anos anteriores.",0,2025-01-05 14:09:03+00:00,Áreas comuns,0.0108199995
"Diária caríssima, incompatível com o hotel",0,2024-10-13 00:00:00+00:00,Experiência,0.012669166
as 18:00 simplesmente te tocam da piscina,0,2024-12-11 21:59:06+00:00,Áreas comuns,0.23065066
manutenção fraca dos quartos,0,2024-08-28 00:00:00+00:00,Quarto,0.10511469
"Só tem dois elevadores, com capacidade máxima de 9 pessoas, o que torna ir e vir um suplício",0,2024-11-14 00:00:00+00:00,Áreas comuns,0.44632515
entretanto não fiquei feliz com os fumantes presente e a vontade que lá tinham apesar  de ter cartaz para todos lado dizendo que o hotel é 100% Sem cigarro.,0,2024-05-05 00:00:00+00:00,Experiência,0.028074335
disposição das lâmpadas no quarto eram ruins,0,2025-05-09 00:00:00+00:00,Quarto,0.017004238
Estacionamento pago à parte e com poucas vagas.,0,2025-01-08 00:00:00+00:00,Áreas comuns,0.19078575
"Meu namorado solicitou um café da manhã surpresa para mim, para ser entregue no dia 05/01, sexta-feira, mas, inexplicavelmente, o entregaram um dia antes, interrompendo nosso descanso na quinta-feira",0,2024-01-05 23:17:11+00:00,Café da manhã,0.056446105
Os sucos não eram naturais.,0,2025-02-21 00:00:00+00:00,Café da manhã,0.27302077
Falta treinamento de funcionários.,0,2024-11-21 13:51:04+00:00,Atendimento da equipe,0.013745617
"Durante as 5 noites de hospedagem, em 3 delas os elevadores estavam com problemas.",0,2024-09-09 00:00:00+00:00,Áreas comuns,0.055533666
lotação café muito grande,0,2025-02-11 00:00:00+00:00,Café da manhã,0.99219173
"Impossivel se mover no espaço e as filas eram longas, tanto no bar como no buffet",0,2025-01-03 00:00:00+00:00,Áreas comuns,0.019609638
