text,class,date,aspect
A ilha de tapioca é sempre aberta após às 8horas e como os passeios sempre antes das 7:30 não conseguimos provar nenhum dia!,0,2024-05-09 00:00:00+00:00,Café da manhã
"Faltou empatia/cortezia ao solicitar que gelasse uma garrafa de espumante para levar na casa de um amigo, foi negado pela recepção do restaurante.",0,2024-11-05 00:00:00+00:00,Atendimento da equipe
Atendimento deixou muito a desejar.,0,2024-02-22 00:00:00+00:00,Atendimento da equipe
"mesmo o hotel rapidamente nos atendendo com travesseiros mais finos, o uso continou desconfortável",0,2025-03-25 00:00:00+00:00,Quarto
ap com cadeira quebrada,0,2025-06-06 00:00:00+00:00,Quarto
"Camas bem espaçosas, apenas o travesseiro achei um pouco alto.",0,2025-07-24 00:00:00+00:00,Quarto
serviço pedido na piscina não são atendidos,0,2024-12-31 15:05:50+00:00,Atendimento da equipe
"assim que chegamos ao realizar o check-in o hotel tinha reserva somente para uma pessoa, sendo que fizemos corretamente a reserva",0,2025-01-16 19:30:31+00:00,Atendimento da equipe
A ilha de tapioca é sempre aberta após às 8horas e como os passeios sempre antes das 7:30 não conseguimos provar nenhum dia!,0,2024-05-09 00:00:00+00:00,Café da manhã
"Novamente, tive que trocar de quarto, e fiquei sem comer mais 1 noite.",0,2025-07-09 00:34:52+00:00,Atendimento da equipe
No café faltou em um dos dias manteiga.,0,2024-11-08 00:00:00+00:00,Café da manhã
"Disseram que iam me trocar de quarto, mas começaram a atender outras pessoas na minha frente",0,2025-02-12 17:07:58+00:00,Atendimento da equipe
Cobram estacionamento até para motos,0,2024-08-02 00:00:00+00:00,Áreas comuns
"quando precisei ligar para a recepção, várias tentativas e o ligação não foi atendida",0,2024-08-18 07:53:28+00:00,Atendimento da equipe
Precisam apenas ter maior atenção na limpeza da piscina e arredores,0,2024-06-21 00:00:00+00:00,Áreas comuns
"Primeiro, check in muito lento.",0,2024-10-25 01:45:54+00:00,Atendimento da equipe
"No check-out, queriam que eu fosse embora sem o meu troco",0,2024-08-29 00:00:00+00:00,Atendimento da equipe
"Não temos sol na piscina no período da tarde, por isso não conseguimos aproveita-la!",0,2024-05-09 00:00:00+00:00,Áreas comuns
Não fosse a cama diria que a estadia seria boa!,0,2024-07-02 03:12:27+00:00,Quarto
"Cama tem muito bounce (muita mola, pula muito) e travesseiro é extremamente alto. Desconfortável dormir.",0,2024-04-15 02:06:05+00:00,Quarto
