text,class,date,aspect
a relação custo benefício do hotel não compensa,0,2024-12-02 19:54:51+00:00,Experiência
Café da Manhã com poucas opções,0,2024-04-16 21:29:37+00:00,Café da manhã
"Depois disso meu marido também teve um desacordo com Adalto em relação ao cartão que abre o quarto, ele simplesmente não queria liberar novamente o cartão para consumo pois havíamos perdido o outro cartão!",0,2024-04-23 19:18:20+00:00,Atendimento da equipe
"Recepção foi eficiente porém não é simpática e essa cidade é turística, então poderia melhorar.",0,2024-03-22 00:00:00+00:00,Atendimento da equipe
Jantar muito caro,0,2024-05-18 00:00:00+00:00,Restaurante/Bar
São 2 abajurs com luz fortissima e 1 luz de teto com abajur. Precisava de um dimer para baixar esta luz.,0,2025-06-23 00:00:00+00:00,Quarto
a relação custo benefício do hotel não compensa,0,2024-12-02 19:54:51+00:00,Experiência
"Na cozinha os pratos também são bem ruins, comida sem gosto, sem sabor.",0,2025-01-20 22:39:41+00:00,Restaurante/Bar
Valor do buffet jantar  muito alto pela qualidade da comida e o que oferece,0,2024-07-10 00:00:00+00:00,Restaurante/Bar
"No check in (que foi de madrugada) questionei sobre o welcome drink e disseram que não tinha nada na reserva, que era pra verificar no dia seguinte (somente assim consegui).",0,2025-06-24 00:00:00+00:00,Atendimento da equipe
"Achei um pouco absurdo  cobrarem R$ 10,00 por 200ml de leite, mas acho que isso é um detalhe…",0,2024-07-31 00:00:00+00:00,Restaurante/Bar
"Quartos espartanos, oferecem pouco conforto.",0,2025-01-04 00:00:00+00:00,Quarto
As opções do bar/restaurante são caras,0,2024-07-28 07:26:42+00:00,Restaurante/Bar
queria entender pq os hotéis cobram tão caro pelas bebidas,0,2024-02-17 17:15:20+00:00,Restaurante/Bar
ar condicionado com ruídos e refrigera pouco (necessita de manutenção urgente ),0,2024-12-30 00:00:00+00:00,Quarto
A piscina era menor do que a foto mostrava,0,2024-01-17 00:00:00+00:00,Áreas comuns
Além de tocarem a campainha do nada. Só para escutarem o som da campainha.,0,2025-07-14 11:45:09+00:00,Quarto
A cústica é ruim ouvimos as pessoas e televisão do quarto ao lado.,0,2025-06-23 00:00:00+00:00,Quarto
a moça que estava na nossa frente questionou o porque e achou que houve uma certa discriminação conosco,0,2024-01-02 23:04:32+00:00,Atendimento da equipe
O espaço do café da manhã é insuficiente,0,2025-03-18 11:42:22+00:00,Café da manhã
"Mas a acústica é terrível. Fiquei em um quarto, no térreo, ao lado da piscina, e ouvia o pessoal conversando no bar (dentro do hotel mesmo) até o fechamento do mesmo, fora as batidas de porta e tal",0,2024-09-09 00:00:00+00:00,Quarto
um garçom me desrespeitou na piscina e ainda me ameaçou,0,2024-01-19 00:00:00+00:00,Áreas comuns
O café da manhã era mais bonito que bom,0,2024-02-14 00:00:00+00:00,Café da manhã
"A experiência do check in com esse indivíduo foi péssima, uma pessoa mal humorada, em nenhum momento fez questão de ser educado ou hospitaleiro, fazendo com que a primeira impressão fosse desagradável.",0,2024-04-23 00:00:00+00:00,Atendimento da equipe
Café da Manhã com poucas opções,0,2024-04-16 21:29:37+00:00,Café da manhã
ar condicionado com problemas,0,2024-08-17 00:00:00+00:00,Quarto
"a limpeza do quarto deixou a desejar, pois percebi que não estava tão bem cuidada quanto esperado.",0,2024-11-07 13:56:30+00:00,Quarto
as portas precisam sem coladas isolador pois infelizmente os demais hospedas cedo ou tarde passam falando alto e isso é chato!,0,2024-06-08 00:00:00+00:00,Quarto
a campainha do apto ao lado era muito forte e me acordava,0,2024-01-23 18:23:24+00:00,Quarto
Almoço com macarrão tão salgado que tivemos que pedir para retornar.,0,2024-03-22 16:13:42+00:00,Restaurante/Bar
As opções do bar/restaurante são caras,0,2024-07-28 07:26:42+00:00,Restaurante/Bar
Piscina podia ser maior,0,2025-01-20 00:00:00+00:00,Áreas comuns
São 2 abajurs com luz fortissima e 1 luz de teto com abajur. Precisava de um dimer para baixar esta luz.,0,2025-06-23 00:00:00+00:00,Quarto
como ponto a ser melhorado seria a troca dos colchões e opções de travesseiros mais altos e duros,0,2025-06-13 21:11:03+00:00,Quarto
Bar da piscina um completo desastre!,0,2025-01-13 16:44:09+00:00,Áreas comuns
Cobrar estacionamento dos hóspedes é patético… R$ 15 por dia.,0,2025-06-24 00:00:00+00:00,Áreas comuns
"Também sugiro alguma melhoria para abafar a batida das portas dos quartos (toda vez que alguém entrava ou saía dos quartos próximos, era um transtorno o barulho das batidas).",0,2024-09-08 17:35:59+00:00,Quarto
"No café, suco de laranja com gosto de estragado.",0,2024-03-22 16:13:42+00:00,Café da manhã
não tinha muitas opções,0,2024-06-09 00:00:00+00:00,Café da manhã
não gostamos das camas e dos travesseiros.,0,2024-03-16 00:00:00+00:00,Quarto
"O sono não foi muito tranquilo, porque a acústica do quarto é ruim.",0,2024-08-10 18:30:14+00:00,Quarto
Achei o café fraco,0,2024-06-09 00:00:00+00:00,Café da manhã
Trocamos de quarto pois o ar não funcionava,0,2024-09-13 00:00:00+00:00,Quarto
Não tinha vaga,0,2024-05-14 01:30:54+00:00,Áreas comuns
"O secador foi substituído, e a linha só foi consertada no último dia de nossa estadia",0,2025-07-18 00:00:00+00:00,Atendimento da equipe
Apenas a noite é pouca luz,0,2024-06-08 00:00:00+00:00,Quarto
