description,sentiment,category,hotel_id,review_posted_at
o tamanho do quarto,1,Quarto,bourbon,2025-06-03 00:00:00+00:00
"Hotel impecável , muito limpo",1,Quarto,bourbon,2025-05-07 00:00:00+00:00
quartos e camas confortáveis,1,Quarto,bourbon,2025-05-07 00:00:00+00:00
localização no centro e em frente ao shoping,1,Localização,bourbon,2025-05-07 00:00:00+00:00
A única questão é a piscina que não pega sol,0,Áreas comuns,bourbon,2025-05-07 00:00:00+00:00
áreas comuns muito bem decoradas,1,Áreas comuns,bourbon,2024-09-08 00:00:00+00:00
Quarto com cama king e travesseiros confortáveis,1,Quarto,bourbon,2024-09-08 00:00:00+00:00
"a cama era uma daquelas dobráveis, o que reduz o conforto",0,Quarto,bourbon,2024-09-08 00:00:00+00:00
espaço apertado,0,Quarto,bourbon,2024-09-08 00:00:00+00:00
Achei alguns recepcionistas desatentos e um pouco desinteressados,0,Atendimento da equipe,bourbon,2024-09-08 00:00:00+00:00
Equipe extremamente proativa e cordial.,1,Atendimento da equipe,bourbon,2025-04-01 00:00:00+00:00
pessoal educado,1,Atendimento da equipe,bourbon,2025-01-27 00:00:00+00:00
café da manhã delicioso,1,Café da manhã,bourbon,2025-01-27 00:00:00+00:00
Hotel confortável,1,Quarto,bourbon,2024-06-26 00:00:00+00:00
Cama extra grande,1,Quarto,bourbon,2024-06-25 00:00:00+00:00
"O hotel é muito bem localizado, bem central e na frente de um shopping center, o que facilita muito quando estamos col crianças.",1,Localização,bourbon,2025-07-22 21:24:56+00:00
"Os quartos eram ótimos, muito limpos e climatizados.",1,Quarto,bourbon,2025-07-22 21:24:56+00:00
"Os quartos eram ótimos, muito limpos e climatizados.",1,Quarto,bourbon,2025-07-22 21:24:56+00:00
Com camas confortáveis e muito grandes.,1,Quarto,bourbon,2025-07-22 21:24:56+00:00
Café da manhã bem diversificado e saboroso.,1,Café da manhã,bourbon,2025-07-22 21:24:56+00:00
Café da manhã bem diversificado e saboroso.,1,Café da manhã,bourbon,2025-07-22 21:24:56+00:00
as acomodações são bastante confortáveis,1,Quarto,bourbon,2024-06-11 00:00:00+00:00
"o atendimento da recepção não foi bom, os empregados foram pouco receptivos e amistosos - não me senti a vontade com o atendimento, ao contrario, fiquei incomodado",0,Atendimento da equipe,bourbon,2024-06-11 00:00:00+00:00
conforto muito bom,1,Quarto,bourbon,2024-01-29 00:00:00+00:00
limpeza muito bom,1,Quarto,bourbon,2024-01-29 00:00:00+00:00
Quarto confortável e cama excelente.,1,Quarto,bourbon,2025-07-17 00:00:00+00:00
Conforto.,1,Quarto,bourbon,2025-07-17 00:00:00+00:00
"Extremamente limpo e bem conservado, além de organizado.",1,Quarto,bourbon,2025-07-17 00:00:00+00:00
"Os funcionários são excelentes, além de muito educados e prestativos.",1,Atendimento da equipe,bourbon,2025-07-17 00:00:00+00:00
Localização excelente.,1,Localização,bourbon,2025-07-13 00:00:00+00:00
"O hotel fica ao lado de um shopping grande e bem próximo ao centro, o que facilita muito tanto para quem está a trabalho quanto a lazer.",1,Localização,bourbon,2025-07-13 00:00:00+00:00
"O quarto é simples, mas confortável,",1,Quarto,bourbon,2025-07-13 00:00:00+00:00
atendimento profissional,1,Atendimento da equipe,bourbon,2025-07-06 00:00:00+00:00
Confortável,1,Quarto,bourbon,2024-08-21 00:00:00+00:00
"qualquer pedido extra (ovos, por exemplo) demora muito",0,Café da manhã,bourbon,2024-05-09 00:00:00+00:00
Hotel muito bem localizado no centro de Foz do Iguaçú ao lado de um bom shopping e perto do centro.,1,Localização,bourbon,2024-05-09 00:00:00+00:00
"Atendimento de todos os funcionários muito bom, são simpáticos e prestativos.",1,Atendimento da equipe,bourbon,2024-05-09 00:00:00+00:00
Quarto amplo e muito confortável,1,Quarto,bourbon,2024-05-09 00:00:00+00:00
Quarto amplo e muito confortável,1,Quarto,bourbon,2024-05-09 00:00:00+00:00
"Bom espaço de lazer (piscina, academia)",1,Áreas comuns,bourbon,2024-05-09 00:00:00+00:00
"Bom espaço de lazer (piscina, academia)",1,Áreas comuns,bourbon,2024-05-09 00:00:00+00:00
"O ponto fraco é o café da manhã, muitos pães e salgados mas todos com o mesmo gosto",0,Café da manhã,bourbon,2024-05-09 00:00:00+00:00
"As toalhas foram trocadas todos os dias embora tenhamos seguido a recomendação de deixar penduradas as que não precisavam ser trocadas), sustentabilidade fake.",0,Quarto,bourbon,2024-05-09 00:00:00+00:00
café da manhã maravilhoso,1,Café da manhã,bourbon,2025-07-05 00:00:00+00:00
atendimento funcionários atenciosos e cordiais,1,Atendimento da equipe,bourbon,2025-07-05 00:00:00+00:00
quarto grande,1,Quarto,bourbon,2025-07-05 00:00:00+00:00
roupas de cama impecável,1,Quarto,bourbon,2025-07-05 00:00:00+00:00
o hotel receber as malas antes do checkin,1,Atendimento da equipe,bourbon,2025-07-05 00:00:00+00:00
depois do checkout faz muita diferença,1,Atendimento da equipe,bourbon,2025-07-05 00:00:00+00:00
Café da manhã muito variado e saboroso.,1,Café da manhã,bourbon,2025-07-05 00:00:00+00:00
Café da manhã muito variado e saboroso.,1,Café da manhã,bourbon,2025-07-05 00:00:00+00:00
Exceção apenas ao alto nível de ruído da rua pois nosso quarto era na frente do hotel.,0,Quarto,bourbon,2025-07-05 00:00:00+00:00
Quarto cheiroso,1,Quarto,bourbon,2025-06-28 00:00:00+00:00
Quarto cheiroso e escuro,1,Quarto,bourbon,2025-06-28 00:00:00+00:00
Espaçoso,1,Quarto,bourbon,2025-06-28 00:00:00+00:00
"Cafe da manha sensacional,  muito diferenciado e inovador !",1,Café da manhã,bourbon,2025-06-28 00:00:00+00:00
Pessoas gentis!!!,1,Atendimento da equipe,bourbon,2025-06-28 00:00:00+00:00
O recepcionista angolano foi perfeito ! Gentil - super carinhoso !,1,Atendimento da equipe,bourbon,2025-06-28 00:00:00+00:00
Hotel bem localizado (shopping em frente),1,Localização,bourbon,2025-05-17 00:00:00+00:00
recepção muito gentil,1,Atendimento da equipe,bourbon,2025-05-17 00:00:00+00:00
"quarto silencioso (fiquei em um no último andar, no lado oposto à avenida frontal)",1,Quarto,bourbon,2025-06-22 00:00:00+00:00
amplo e confortável,1,Quarto,bourbon,2025-06-22 00:00:00+00:00
Há um shopping em frente ao hotel que facilita alguma necessidade rápida,1,Localização,bourbon,2025-06-22 00:00:00+00:00
para os restaurantes é necessário uma caminhada ou pegar um transporte,0,Localização,bourbon,2025-06-22 00:00:00+00:00
Há hotéis de boa qualidade mais próximos do comércio,0,Localização,bourbon,2025-06-22 00:00:00+00:00
cama muito confortável,1,Quarto,bourbon,2025-06-20 00:00:00+00:00
encantada com o conforto,1,Quarto,bourbon,2025-06-17 00:00:00+00:00
serviço  de quarto excelente,1,Atendimento da equipe,bourbon,2025-06-17 00:00:00+00:00
limpeza em todos os ambientes,1,Quarto,bourbon,2025-06-17 00:00:00+00:00
funcionários sempre recebendo a todos  com sorriso,1,Atendimento da equipe,bourbon,2025-06-17 00:00:00+00:00
funcionários educados prestativo,1,Atendimento da equipe,bourbon,2025-06-17 00:00:00+00:00
quartos limpos e cheiroso,1,Quarto,bourbon,2025-06-17 00:00:00+00:00
hotel silencioso,1,Quarto,bourbon,2025-06-17 00:00:00+00:00
café da manhã excepcional,1,Café da manhã,bourbon,2025-06-17 00:00:00+00:00
"O Hotel tem uma localização privilegiada, perto de tudo !.",1,Localização,bourbon,2025-06-16 00:00:00+00:00
Funcionários atenciosos e corteses.,1,Atendimento da equipe,bourbon,2025-06-16 00:00:00+00:00
Amei o apto bem iluminado...,1,Quarto,bourbon,2025-06-16 00:00:00+00:00
"quarto silencioso (fiquei em um no último andar, no lado oposto à avenida frontal)",1,Quarto,bourbon,2025-06-14 00:00:00+00:00
amplo,1,Quarto,bourbon,2025-06-14 00:00:00+00:00
confortável,1,Quarto,bourbon,2025-06-14 00:00:00+00:00
Há um shopping em frente ao hotel que facilita alguma necessidade rápida.,1,Localização,bourbon,2025-06-14 00:00:00+00:00
para os restaurantes é necessário uma caminhada ou pegar um transporte.,0,Localização,bourbon,2025-06-14 00:00:00+00:00
Há hotéis de boa qualidade mais próximos do comércio.,0,Localização,bourbon,2025-06-14 00:00:00+00:00
cama confortável,1,Quarto,bourbon,2025-03-25 00:00:00+00:00
"os travesseiros muito altos e pouco macios, nao sei se pelo uso de capa protetora, a experiencia nao foi agradável",0,Quarto,bourbon,2025-03-25 00:00:00+00:00
"mesmo o hotel rapidamente nos atendendo com travesseiros mais finos, o uso continou desconfortável",0,Quarto,bourbon,2025-03-25 00:00:00+00:00
"infelizmente tivemos a péssima sorte de encontrar uma barata pequena caminhando a noite, no escuro em cima da cama de solteiro",0,Quarto,bourbon,2025-03-25 00:00:00+00:00
"comentei com o Rodrigo e mostrei a foto, que prontamente reforçou a limpeza do quarto",1,Quarto,bourbon,2025-03-25 00:00:00+00:00
"lobby, bar, jantar, piscina e etc muito bem decorados e de muito bom gosto e atemporal",1,Quarto,bourbon,2025-03-25 00:00:00+00:00
moveis confortaveis e em cores neutras,1,Quarto,bourbon,2025-03-25 00:00:00+00:00
corredores limpos,1,Quarto,bourbon,2025-03-25 00:00:00+00:00
Mesmo depois de chamar a manutenção os problemas não foram solucionados,0,Atendimento da equipe,bourbon,2024-07-21 00:00:00+00:00
Excelente localização.,1,Localização,bourbon,2025-06-06 00:00:00+00:00
"A localização é excelente, em frente ao JL Shopping.",1,Localização,bourbon,2025-06-06 00:00:00+00:00
Café da manhã bem diversificado.,1,Café da manhã,bourbon,2025-06-06 00:00:00+00:00
"Quarto confortável, acomodou bem 03 pessoas.",1,Quarto,bourbon,2025-06-06 00:00:00+00:00
cama excelente,1,Quarto,bourbon,2025-05-18 00:00:00+00:00
atendentes educados,1,Atendimento da equipe,bourbon,2025-05-18 00:00:00+00:00
"se vc for comer alguma coisa no frigobar e da mesa  pergunta o preço primeiro, pois tomei prejuízo nesse hotel!!!!",0,Quarto,bourbon,2025-04-27 21:23:13+00:00
"o quarto era desconfortável, a cama era ruim",0,Quarto,bourbon,2025-01-29 14:00:38+00:00
o ar condicionado não funcionava direito (ainda ficava muito quente),0,Quarto,bourbon,2025-01-29 14:00:38+00:00
café da manhã maravilhoso com muitas opções,1,Café da manhã,bourbon,2025-01-16 23:54:18+00:00
quarto bonito e bem limpo,1,Quarto,bourbon,2025-01-16 23:54:18+00:00
funcionários atenciosos,1,Atendimento da equipe,bourbon,2025-01-16 23:54:18+00:00
"assim que chegamos ao realizar o check-in o hotel tinha reserva somente para uma pessoa, sendo que fizemos corretamente a reserva",0,Atendimento da equipe,bourbon,2025-01-16 19:30:31+00:00
O atendente simplesmente lavou as mãos e não levantou uma palha para nos ajudar,0,Atendimento da equipe,bourbon,2025-01-16 19:30:31+00:00
o estacionamento também não é incluso nas diárias,0,Áreas comuns,bourbon,2025-01-16 19:30:31+00:00
"Localizado bem no centro de Foz do Iguaçu, em frente ao shopping Cataratas, de fácil acesso.",1,Localização,bourbon,2024-11-04 14:00:34+00:00
Café da manhã com muita variedade de alimentos e sucos.,1,Café da manhã,bourbon,2024-11-04 14:00:34+00:00
"Atendimento fácil e rápido, atendentes atenciosos!",1,Atendimento da equipe,bourbon,2024-11-04 14:00:34+00:00
quartos limpos,1,Quarto,bourbon,2024-08-08 19:56:17+00:00
cama confortável,1,Quarto,bourbon,2024-08-08 19:56:17+00:00
localização muito boa de frente para o shopping,1,Localização,bourbon,2024-07-26 16:54:06+00:00
Funcionarios cordiais,1,Atendimento da equipe,bourbon,2024-07-21 12:03:15+00:00
limpeza impecável,1,Quarto,bourbon,2024-07-21 12:03:15+00:00
Área da piscina muito bem servida,1,Áreas comuns,bourbon,2024-07-21 12:03:15+00:00
café da manhã excelente,1,Café da manhã,bourbon,2024-03-12 10:58:01+00:00
Quartos bem limpos,1,Quarto,bourbon,2024-03-12 10:58:01+00:00
O staff é educado e atento às demandas dos hóspedes,1,Atendimento da equipe,bourbon,2024-03-12 10:58:01+00:00
"Atendimento bom, tiraram várias dúvidas pra gente",1,Atendimento da equipe,bourbon,2024-03-11 09:57:44+00:00
quarto sempre bem limpo,1,Quarto,bourbon,2024-03-11 09:57:44+00:00
Quarto amplo,1,Quarto,bourbon,2024-04-16 00:00:00+00:00
Quarto confortável,1,Quarto,bourbon,2024-04-16 00:00:00+00:00
em frente a um bom shopping,1,Localização,bourbon,2024-03-27 00:00:00+00:00
Limpeza e quartos excelentes,1,Quarto,bourbon,2024-03-27 00:00:00+00:00
"Pode ser barulhento quando houver evento. O hotel estava com um evento. À noite a banda tocava música boa, mas em som absurdamente alto para quem não era da festa e precisava dormir.",0,Quarto,bourbon,2025-03-16 00:00:00+00:00
Travesseiros e café da manhã podem ser muito melhores.,0,Quarto,bourbon,2025-03-16 00:00:00+00:00
limpeza e organização nota 10,1,Quarto,bourbon,2024-03-13 07:41:24+00:00
café da manhã variado e gostoso,1,Café da manhã,bourbon,2024-03-13 07:41:24+00:00
Ah e o melhor em frente ao Shopping JL que é do mesmo Grupo do Hotel,1,Localização,bourbon,2024-03-13 07:41:24+00:00
apenas uma ressalva para a acustica nao tem muito bloqueio de ruido,0,Quarto,bourbon,2025-04-06 00:00:00+00:00
"Hotel muito bem localizado, o que facilitou o transporte para os locais turísticos.",1,Localização,bourbon,2024-10-15 00:00:00+00:00
"a cordialidade e a maneira com que fui tratado, superou completamente",1,Atendimento da equipe,bourbon,2025-01-13 00:00:00+00:00
"o café da manhã estava com o salão sujo, se caia um pão no chão as 6 da manhã ficava lá até terminar o café,  várias pessoas ajeitando a mesa",0,Café da manhã,bourbon,2025-01-06 00:00:00+00:00
faltava reposição de  produtos,0,Café da manhã,bourbon,2025-01-06 00:00:00+00:00
cama King com lençol pequeno  ficamos em contato com o colchão sem capa ou protetor,0,Quarto,bourbon,2025-01-06 00:00:00+00:00
hotel eficiente desde o check in ao check out,1,Atendimento da equipe,bourbon,2024-12-09 00:00:00+00:00
hotel eficiente desde o check in ao check out,1,Atendimento da equipe,bourbon,2024-12-09 00:00:00+00:00
o hotel prima no atendimento na educação de todos os funcionários nos cuidados com os hospedes,1,Atendimento da equipe,bourbon,2024-12-09 00:00:00+00:00
"o hotel prima no atendimento na educação de todos os funcionários nos cuidados com os hospedes, na limpeza de todos os cômodos",1,Atendimento da equipe,bourbon,2024-12-09 00:00:00+00:00
Equipe de frente cordial e atenciosa.,1,Atendimento da equipe,bourbon,2024-12-09 00:00:00+00:00
Não consegui falar com uma pessoa responsável  (supervisor) para discutir o assunto.,0,Atendimento da equipe,bourbon,2024-12-09 00:00:00+00:00
pessoas atenciosas,1,Atendimento da equipe,bourbon,2025-05-30 22:00:08+00:00
muito limpo,1,Quarto,bourbon,2025-05-30 22:00:08+00:00
aconchegante os quartos,1,Quarto,bourbon,2025-05-30 22:00:08+00:00
"Hotel bem localizado, fica em frente ao Shopping JL Cataratas.",1,Localização,bourbon,2025-05-10 01:34:01+00:00
Estrutura boa com piscina,1,Áreas comuns,bourbon,2025-05-10 01:34:01+00:00
Estrutura boa com academia,1,Áreas comuns,bourbon,2025-05-10 01:34:01+00:00
Funcionários atenciosos e simpáticos.,1,Atendimento da equipe,bourbon,2025-04-27 20:32:53+00:00
Quartos espaçosos,1,Quarto,bourbon,2025-04-27 20:32:53+00:00
roupa de cama e banho de boa qualidade e limpas.,1,Quarto,bourbon,2025-04-27 20:32:53+00:00
"O café da manhã senti falta de produtos para dietas especiais, como diet e sem glúten.",0,Café da manhã,bourbon,2024-09-05 00:00:00+00:00
